algorithm,seed,environment_steps,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,agent2/mean_episode_returns,agent2/std_episode_returns,agent3/mean_episode_returns,agent3/std_episode_returns,agent4/mean_episode_returns,agent4/std_episode_returns,epsilon,loss,mean_action_mask,mean_battle_won,mean_episode_length,mean_episode_returns,mean_episode_time,std_action_mask,std_battle_won,std_episode_length,std_episode_returns,std_episode_time,updates
vdn,1,750567,18.938065,2.554634,18.938065,2.554634,18.938065,2.554634,18.938065,2.554634,18.938065,2.554634,0.05,3.625244379043579,11.97,0.84,52.88,94.69032,0.1703841854346683,3.7482128,0.3666060555964672,7.556824730003998,12.7731695,0.0224963996473983,12318
vdn,1,800584,18.752941,2.7478747,18.752941,2.7478747,18.752941,2.7478747,18.752941,2.7478747,18.752941,2.7478747,0.05,4.855677127838135,13.04,0.81,55.04,93.76471,0.1736883524496806,4.6019998,0.3923009049186606,7.2868648951383745,13.739373,0.0187914282679952,13068
vdn,1,850604,15.740931,3.8164825,15.740931,3.8164825,15.740931,3.8164825,15.740931,3.8164825,15.740931,3.8164825,0.05,3.423327207565308,8.41,0.4,61.28,78.70466,0.1959537862899014,4.714011,0.4898979485566356,22.314605082770345,19.082413,0.0514819761359154,13910
vdn,1,900637,19.42071,2.066916,19.42071,2.066916,19.42071,2.066916,19.42071,2.066916,19.42071,2.066916,0.05,3.3071658611297607,14.16,0.9,54.98,97.10356,0.1820003311999607,3.7569134,0.3,18.06321123167196,10.33458,0.0466913649926777,14774
vdn,1,950650,19.566248,2.0627856,19.566248,2.0627856,19.566248,2.0627856,19.566248,2.0627856,19.566248,2.0627856,0.05,2.858427047729492,15.08,0.93,55.14,97.83126,0.18376858124102,3.6018884,0.2551470164434615,11.872674509140728,10.313929,0.0307481433291939,15646
vdn,1,1000702,19.64093,1.5877541,19.64093,1.5877541,19.64093,1.5877541,19.64093,1.5877541,19.64093,1.5877541,0.05,2.923365592956543,16.14,0.92,53.79,98.204666,0.1799195399804739,3.8910666,0.2712931993250107,18.29223605795639,7.938771,0.0463010220764785,16537
vdn,1,1050743,19.663969,1.5369648,19.663969,1.5369648,19.663969,1.5369648,19.663969,1.5369648,19.663969,1.5369648,0.05,2.515818357467652,15.3,0.92,60.65,98.319855,0.2098534128919709,4.4732537,0.2712931993250107,13.743634890377434,7.6848235,0.0419886288563256,17407
vdn,1,1100761,19.892498,1.5093737,19.892498,1.5093737,19.892498,1.5093737,19.892498,1.5093737,19.892498,1.5093737,0.05,2.372432231903076,18.05,0.95,59.05,99.462494,0.2004583667393308,3.734635,0.2179449471770337,18.53611340060262,7.5468683,0.05269370478466,18238
vdn,1,1150784,19.315907,2.067943,19.315907,2.067943,19.315907,2.067943,19.315907,2.067943,19.315907,2.067943,0.05,2.16157341003418,16.36,0.87,65.01,96.579544,0.2203310370928375,4.695785,0.3363034344160047,23.49318837450549,10.339713,0.0640370384333123,19035
vdn,1,1200814,17.98532,3.782469,17.98532,3.782469,17.98532,3.782469,17.98532,3.782469,17.98532,3.782469,0.05,2.2471938133239746,15.17,0.69,92.79,89.926605,0.2931964125233935,4.884783,0.462493243193887,43.2100208285069,18.912346,0.116299203164389,19788
vdn,1,1250834,18.909288,2.9791505,18.909288,2.9791505,18.909288,2.9791505,18.909288,2.9791505,18.909288,2.9791505,0.05,2.0432217121124268,13.95,0.81,59.89,94.54645,0.2042326279362896,5.280862,0.3923009049186606,22.61985632138277,14.895752,0.0614094142763986,20578
vdn,1,1300872,19.836716,1.1907862,19.836716,1.1907862,19.836716,1.1907862,19.836716,1.1907862,19.836716,1.1907862,0.05,1.350843906402588,17.73,0.95,52.42,99.183586,0.1798001387278782,4.2328596,0.2179449471770337,15.108395017340523,5.953931,0.0373779216919518,21426
vdn,1,1350877,19.299803,2.7233758,19.299803,2.7233758,19.299803,2.7233758,19.299803,2.7233758,19.299803,2.7233758,0.05,1.6200772523880005,16.26,0.9,54.04,96.49902,0.2036298345902469,4.9771876,0.3,9.7302826269333,13.616879,0.0376971021366331,22340
vdn,1,1400979,11.540686,4.7137957,11.540686,4.7137957,11.540686,4.7137957,11.540686,4.7137957,11.540686,4.7137957,0.05,1.5604722499847412,8.14,0.19,108.01,57.703434,0.3370905154192587,4.4744163,0.3923009049186606,48.86788209038735,23.568975,0.1357268294951521,23256
vdn,1,1451022,19.48326,1.92282,19.48326,1.92282,19.48326,1.92282,19.48326,1.92282,19.48326,1.92282,0.05,1.1928999423980713,16.22,0.92,52.74,97.4163,0.1919595091789961,4.295532,0.2712931993250107,16.221972753028528,9.6140995,0.0461641680073552,24171
vdn,1,1501036,19.128162,2.1623402,19.128162,2.1623402,19.128162,2.1623402,19.128162,2.1623402,19.128162,2.1623402,0.05,1.270224690437317,14.12,0.84,61.55,95.64082,0.2065988137788372,5.150301,0.3666060555964672,16.082521568460585,10.811702,0.0418724847918992,25128
vdn,1,1551045,19.867304,0.9186625,19.867304,0.9186625,19.867304,0.9186625,19.867304,0.9186625,19.867304,0.9186625,0.05,1.2701075077056885,17.37,0.97,52.87,99.33652,0.1829940471780719,4.5247207,0.1705872210923198,10.642983604234296,4.593312,0.0314028610393276,26099
vdn,1,1601074,19.796347,1.3175707,19.796347,1.3175707,19.796347,1.3175707,19.796347,1.3175707,19.796347,1.3175707,0.05,1.4042075872421265,17.17,0.96,53.15,98.981735,0.1867302166711306,3.7896044,0.1959591794226542,11.43361272739286,6.5878534,0.030130889215826,27063
vdn,1,1651106,19.982254,1.1861703,19.982254,1.1861703,19.982254,1.1861703,19.982254,1.1861703,19.982254,1.1861703,0.05,1.2953683137893677,16.71,0.96,51.4,99.91128,0.1793039750005118,4.393848,0.1959591794226542,6.794115100585213,5.930851,0.0274465821056362,28063
vdn,1,1701112,19.88772,0.86480266,19.88772,0.86480266,19.88772,0.86480266,19.88772,0.86480266,19.88772,0.86480266,0.05,0.8861389756202698,21.3,0.97,43.84,99.43861,0.1591203525610035,4.948737,0.1705872210923198,5.0491979561114455,4.324013,0.0163997727739705,29120
vdn,1,1751125,18.669361,2.6085038,18.669361,2.6085038,18.669361,2.6085038,18.669361,2.6085038,18.669361,2.6085038,0.05,1.1807844638824463,14.44,0.77,49.62,93.34682,0.1911090157873695,6.541132,0.4208325082500163,11.333825479510438,13.0425205,0.0409455659245743,30177
vdn,1,1801156,19.803823,1.2700198,19.803823,1.2700198,19.803823,1.2700198,19.803823,1.2700198,19.803823,1.2700198,0.05,1.0928951501846311,17.65,0.97,46.89,99.01912,0.1626854367123451,4.3735,0.1705872210923198,3.230773901095525,6.350099,0.0137086042054601,31245
