algorithm,seed,environment_steps,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,epsilon,loss,mean_action_mask,mean_battle_won,mean_episode_length,mean_episode_returns,mean_episode_time,std_action_mask,std_battle_won,std_episode_length,std_episode_returns,std_episode_time,updates
idqn,1,1600547,14.82149,5.2350945,14.82149,5.2350945,0.05,6.843029975891113,4.38,0.47,46.59,29.64298,0.0919506025087321,2.0917935,0.4990991885387111,39.57653218764879,10.470189,0.0823829356112963,32102
idqn,1,1700616,14.8331175,5.11143,14.8331175,5.11143,0.05,4.256606578826904,3.94,0.46,39.95,29.666235,0.0775135737570235,1.9840362,0.4983974317750844,29.25794763820593,10.22286,0.0576985177088845,34593
idqn,1,1800644,15.751786,4.7732244,15.751786,4.7732244,0.05,3.833362579345703,4.26,0.53,43.62,31.503572,0.0840603870892664,2.0279052,0.4990991885387111,34.04255572074459,9.546449,0.0688490503349904,36980
idqn,1,1900652,15.826556,4.757897,15.826556,4.757897,0.05,4.4387640953063965,4.19,0.53,38.83,31.653112,0.0745883137709461,1.9834062,0.4990991885387111,26.68184963603536,9.515794,0.0528347358015296,39458
idqn,1,2000653,17.056917,4.7208014,17.056917,4.7208014,0.05,3.550953149795532,4.72,0.68,32.1,34.113834,0.0609182099805912,1.8659047,0.4664761515876239,5.821511831131155,9.441603,0.0124104886015226,42442
idqn,1,2100678,16.686962,4.557536,16.686962,4.557536,0.05,2.862121343612671,4.48,0.62,31.91,33.373924,0.0598848875169642,1.9415457,0.4853864439804639,5.173190504901208,9.115072,0.0104599433315943,45588
idqn,1,2200683,16.609129,4.544664,16.609129,4.544664,0.05,3.593733072280884,4.44,0.61,32.33,33.218258,0.0607710413198219,1.9509999,0.4877499359302879,9.035546469361996,9.089328,0.01706171334521,48621
idqn,1,2300693,15.865889,4.822263,15.865889,4.822263,0.05,3.114602565765381,4.16,0.54,31.36,31.731777,0.0586767716676695,1.9935896,0.4983974317750844,1.4800000000000004,9.644526,0.0036969824219538,51662
idqn,1,2400698,16.723436,4.4889627,16.723436,4.4889627,0.05,2.9848620891571045,4.48,0.62,31.39,33.446873,0.0595299475331557,1.9415458,0.4853864439804639,0.6307931515164064,8.977925,0.0058219143464998,54818
idqn,1,2500707,16.579683,4.751736,16.579683,4.751736,0.05,2.5470988750457764,4.48,0.62,34.28,33.159367,0.0662735925504239,1.9415457,0.4853864439804639,16.22780330174112,9.503472,0.0308412374401504,57983
idqn,1,2600734,16.862255,4.3895082,16.862255,4.3895082,0.05,3.1092514991760254,4.52,0.63,31.36,33.72451,0.0585154666384914,1.9312172,0.4828043081829324,0.7002856560004638,8.7790165,0.0029219742016617,61156
idqn,1,2700753,17.249697,4.239879,17.249697,4.239879,0.05,2.1164662837982178,4.68,0.67,31.12,34.499393,0.0585192162398016,1.880851,0.4702127178203498,0.919565114605812,8.479758,0.0030598622693941,64351
idqn,1,2800758,17.118698,4.239194,17.118698,4.239194,0.05,2.5828959941864014,4.6,0.65,31.57,34.237396,0.0577457841794239,1.9078785,0.4769696007084728,0.696491205974634,8.478388,0.0030701660115849,67544
idqn,1,2900776,16.719864,4.5130515,16.719864,4.5130515,0.05,2.888796329498291,4.48,0.62,31.89,33.439728,0.0617615408019628,1.9415457,0.4853864439804639,0.4877499359302879,9.026103,0.0044189796492151,70730
idqn,1,3000806,16.9338,4.3028884,16.9338,4.3028884,0.05,2.181356430053711,4.52,0.63,31.54,33.8676,0.0601573775417637,1.9312171,0.4828043081829324,0.5730619512757762,8.605777,0.0058631052362541,73902
idqn,1,3100829,17.331572,4.351821,17.331572,4.351821,0.05,2.721637487411499,4.76,0.69,31.86,34.663143,0.059650575837586,1.849973,0.462493243193887,0.8720091742636654,8.703642,0.0032124814282313,77074
idqn,1,3200850,16.75512,4.372924,16.75512,4.372924,0.05,2.1756041049957275,4.44,0.61,31.59,33.51024,0.0591813392337644,1.951,0.4877499359302879,0.762823701781742,8.745848,0.0026679047999118,80249
idqn,1,3300872,15.911394,4.66541,15.911394,4.66541,0.05,1.8215898275375368,4.12,0.53,31.63,31.822788,0.0596158203465165,1.9963965,0.4990991885387111,0.5942221806698234,9.33082,0.0051516524593838,83419
idqn,1,3400898,16.47831,4.5317526,16.47831,4.5317526,0.05,2.832783937454224,4.36,0.59,31.98,32.95662,0.0599289212899748,1.9673332,0.4918333050943174,0.3994996871087635,9.063505,0.0027028015939843,86567
idqn,1,3500923,16.566978,4.51704,16.566978,4.51704,0.05,2.0326857566833496,4.4,0.6,32.06,33.133957,0.0589758463029284,1.959592,0.4898979485566356,1.5672906558772055,9.03408,0.0042897299969425,89722
idqn,1,3600927,16.341135,4.506961,16.341135,4.506961,0.05,2.3586766719818115,4.28,0.57,31.65,32.68227,0.0587479295546654,1.980303,0.4950757517794625,0.7533259586659682,9.013922,0.0039519854177379,92872
idqn,1,3700930,17.575687,4.1680903,17.575687,4.1680903,0.05,2.162941694259644,4.84,0.71,31.17,35.151375,0.058146102943574,1.8150485,0.4537620521815371,1.04933312155864,8.336181,0.0028532282406352,96022
