algorithm,seed,environment_steps,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,epsilon,loss,mean_episode_length,mean_episode_returns,mean_episode_time,std_episode_length,std_episode_returns,std_episode_time,updates
idqn,2,1100247,0.07738095,0.11384464,0.15416667,0.18888752,0.05,1.1452898979187012,47.85,0.23154762,0.0097754956514108,9.371632728612449,0.22601733,0.002843724476608,22645
idqn,2,1200261,0.1486508,0.16904427,0.1425397,0.26769578,0.05,0.8590332865715027,47.05,0.29119048,0.0106917707977117,9.184089503048192,0.3401681,0.0044144127204159,24770
idqn,2,1300263,0.12916668,0.18286875,0.14500001,0.21448258,0.05,1.6181563138961792,45.15,0.27416667,0.0090400876069907,12.826827355195828,0.34462035,0.0032397987684059,26962
idqn,2,1400286,0.18206349,0.18138324,0.16000001,0.29464668,0.05,1.4963778257369995,42.6,0.3420635,0.0091683833947172,15.064527871792064,0.37578648,0.0033978594025799,29202
idqn,2,1500289,0.13083334,0.18931714,0.16337302,0.20970444,0.05,1.7505078315734863,44.1,0.29420635,0.0084631646459456,14.124092891226676,0.3320016,0.0034024491356137,31495
idqn,2,1600335,0.25198412,0.32515123,0.12539682,0.18385242,0.05,2.1332898139953613,41.45,0.37738094,0.0091211915452731,14.96487554241598,0.38961282,0.0038396958253675,33867
idqn,2,1700348,0.16305557,0.20119455,0.2427778,0.26936194,0.05,2.7161200046539307,42.5,0.40583333,0.0097930041054496,13.694889557787606,0.4032946,0.0039920399847434,36323
idqn,2,1800349,0.2904365,0.28361502,0.27753967,0.26907992,0.05,3.107362985610962,36.3,0.5679762,0.0080023751128464,17.126295571430504,0.38948587,0.004436600337126,38878
idqn,2,1900392,0.19720238,0.28682157,0.1625,0.2685933,0.05,2.845602035522461,41.95,0.3597024,0.0087945666455198,14.182647848691724,0.41047758,0.0033772275039837,41545
idqn,2,2000397,0.3374405,0.25498754,0.33613095,0.24976046,0.05,3.186208248138428,35.2,0.6735714,0.0082043770467862,16.572869395490933,0.41848305,0.0034735651630982,44416
idqn,2,2100430,0.29642856,0.24350142,0.31607145,0.26463097,0.05,3.61782169342041,33.0,0.6125,0.0079895812552422,16.685322891691367,0.4774607,0.0040470697607079,47396
idqn,2,2200450,0.27021828,0.1965369,0.44053572,0.21415436,0.05,4.465219020843506,32.7,0.710754,0.0084123019478283,16.24222891108237,0.35597908,0.0060454949411903,50591
idqn,2,2300453,0.46184525,0.19853577,0.4714881,0.20014822,0.05,3.4866244792938232,25.85,0.9333333,0.0058183206914691,12.861862229086425,0.22607768,0.0029253032551702,53892
idqn,2,2400461,0.43732142,0.22387864,0.35940474,0.1899132,0.05,2.972075700759888,27.85,0.7967262,0.0043005540588637,16.78474009331095,0.3106465,0.0032985508791034,57336
idqn,2,2500462,0.3764385,0.2647495,0.44578376,0.28708947,0.05,3.752307653427124,26.9,0.8222221,0.0046265520446468,15.53673067282818,0.33407328,0.0030715221947938,60822
idqn,2,2600475,0.44609123,0.21098047,0.41158733,0.21022812,0.05,2.9459545612335205,27.25,0.8576786,0.0051796542480587,13.924349176891536,0.2712976,0.002654463675115,64468
idqn,2,2700481,0.4001389,0.19721827,0.4165278,0.21180804,0.05,3.238708257675171,28.15,0.8166666,0.005087454203749,15.79327388479032,0.32171416,0.0031444776120773,68256
idqn,2,2800487,0.40922624,0.2562878,0.43244046,0.27115622,0.05,2.865361213684082,25.8,0.8416667,0.0042161396529991,13.36637572418193,0.33942354,0.0030916238446558,72227
idqn,2,2900488,0.4948512,0.21558958,0.45514885,0.2109354,0.05,2.883007287979126,20.5,0.95,0.003226306248689,8.194510357550353,0.21794493,0.0014855630786571,76361
idqn,2,3000508,0.44976193,0.27887517,0.3669048,0.2714627,0.05,2.870828866958618,23.55,0.8166667,0.0046670397015986,15.850788623913951,0.37230512,0.0037561673023357,80589
idqn,2,3100536,0.40949407,0.27578098,0.31574404,0.2414461,0.05,2.0996532440185547,29.55,0.7252381,0.0061312583042308,15.541798480227442,0.39485666,0.0033207792241978,84746
idqn,2,3200550,0.41122025,0.23059124,0.40354165,0.25015968,0.05,2.642714023590088,28.9,0.81476194,0.0063555396540323,14.32445461439981,0.32182127,0.0026406759754073,89245
idqn,2,3300550,0.42769843,0.18586154,0.5723016,0.18586153,0.05,1.917759895324707,19.2,1.0,0.0039894271001685,4.545327270945405,2.6656007e-08,0.0014444089262023,93955
idqn,2,3400559,0.44722217,0.2212871,0.43402776,0.20855431,0.05,2.21221137046814,23.5,0.88125,0.0051599459460703,12.467958934805647,0.3048437,0.0040241775318493,98893
idqn,2,3500562,0.5171231,0.21368925,0.43823415,0.17528678,0.05,2.115680932998657,23.35,0.9553572,0.0039888687955681,10.061187802640402,0.16477993,0.0016499323203085,103718
idqn,2,3600609,0.5175596,0.20154059,0.4824404,0.20154057,0.05,1.5336930751800537,20.0,1.0,0.0044695145974401,8.763560920082657,3.7697287e-08,0.0022180242143693,108485
idqn,2,3700624,0.3994345,0.25036943,0.402629,0.24613607,0.05,2.0272376537323,26.45,0.80206347,0.0049302980536594,15.014909257135056,0.35806128,0.0025878856876632,113354
